length_fresh	id_netcolector	species	mean_density	id
1.8	7809	Thunnus thynnus	0.00185082361650935	1328
2	7809	Thunnus thynnus	0.00185082361650935	1328
2.4	6942	Thunnus thynnus	0.00203873598369011	1168
2.6	1218	Thunnus thynnus	0.00802486671192775	593
2.7	6567	Thunnus thynnus	0.00211685012701101	1122
2.7	7833	Thunnus thynnus	0.00197044334975369	1334
2.8	1326	Thunnus alalunga	0.00862558913724751	498
2.8	1220	Thunnus thynnus	0.00940810992340586	595
2.8	7523	Thunnus thynnus	0.00268240343347639	1256
2.9	4578	Thunnus thynnus	0.0020185708518369	840
2.9	4792	Thunnus thynnus	0.00223763705526964	892
2.9	5439	Thunnus thynnus	0.143350146004778	945
2.9	6918	Thunnus thynnus	0.00207125103562552	1162
2.9	7733	Thunnus alalunga	0.00164527805199079	1309
2.9	7809	Thunnus thynnus	0.00185082361650935	1328
3	1311	Thunnus alalunga	0.0166459839726131	483
3	1323	Thunnus alalunga	0.0166555320196976	495
3	1171	Thunnus alalunga	0.0337095273233725	546
3	1204	Thunnus alalunga	0.0227612653078101	579
3	1204	Thunnus thynnus	0.00758071574196763	579
3	1217	Thunnus alalunga	0.0191867819440994	592
3	4328	Thunnus thynnus	0.0687285223367698	801
3	4370	Thunnus thynnus	0.0168350168350168	810
3	4388	Thunnus thynnus	0.00594883997620464	814
3	4702	Thunnus alalunga	0.00372786579683131	871
3	4804	Thunnus thynnus	0.00234962406015038	893
3	5439	Thunnus thynnus	0.286700292009557	945
3	5692	Thunnus alalunga	0.00206996481059822	977
3	7262	Thunnus alalunga	0.00481927710843374	1230
3	7571	Thunnus thynnus	0.00167897918065816	1268
3	7809	Thunnus thynnus	0.00185082361650935	1328
3	8021	Thunnus thynnus	0.00446484381976318	1382
3	8030	Thunnus alalunga	0.00190484317807084	1384
3.1	1290	Thunnus alalunga	0.0111321906646103	511
3.1	1298	Thunnus alalunga	0.0178537042934396	518
3.1	1171	Thunnus alalunga	0.0590742710800941	546
3.1	1188	Thunnus alalunga	0.0114301719452345	563
3.1	1189	Thunnus alalunga	0.0121372743428592	564
3.1	1204	Thunnus thynnus	0.015167802839173	579
3.1	4328	Thunnus thynnus	0.274914089347079	801
3.1	4388	Thunnus alalunga	0.00297441998810232	814
3.1	4502	Thunnus thynnus	0.00163212012404113	821
3.1	4582	Thunnus thynnus	0.00252397778899546	841
3.1	4686	Thunnus thynnus	0.00242365487154629	867
3.1	4792	Thunnus thynnus	0.00223763705526964	892
3.1	4270	Thunnus alalunga	0.00231481481481481	906
3.1	5439	Thunnus thynnus	0.573400584019113	945
3.1	5572	Thunnus thynnus	0.0776699029126214	960
3.1	6870	Thunnus thynnus	0.0111358574610245	1150
3.1	6914	Thunnus thynnus	0.010690613641223	1161
3.1	6934	Thunnus thynnus	0.00774443368828654	1166
3.1	6942	Thunnus thynnus	0.00203873598369011	1168
3.1	6946	Thunnus thynnus	0.00232396002788752	1169
3.1	6990	Thunnus thynnus	0.00236406619385343	1180
3.1	6998	Thunnus thynnus	0.00360100828231905	1182
3.1	7262	Thunnus alalunga	0.00481927710843374	1230
3.1	7809	Thunnus thynnus	0.00185082361650935	1328
3.1	8021	Thunnus thynnus	0.00223242190988159	1382
3.2	208	Thunnus thynnus	0.00756097630298092	22
3.2	229	Thunnus alalunga	0.0186686842527931	43
3.2	250	Thunnus alalunga	0.274564721003123	62
3.2	250	Thunnus thynnus	0.00872931223803267	62
3.2	255	Thunnus alalunga	0.0323212121883022	67
3.2	260	Thunnus alalunga	0.114418539642747	72
3.2	266	Thunnus alalunga	0.00769726822822216	77
3.2	270	Thunnus thynnus	0.0471956702231532	81
3.2	293	Thunnus thynnus	0.00879808049403943	104
3.2	319	Thunnus alalunga	0.0288670363753571	130
3.2	322	Thunnus alalunga	0.00890055965131302	133
3.2	519	Thunnus alalunga	0.0144506994778222	157
3.2	501	Thunnus thynnus	0.00669305856226704	159
3.2	520	Thunnus thynnus	0.00736161939282846	163
3.2	532	Thunnus alalunga	0.0314461455069912	182
3.2	532	Thunnus thynnus	0.0314461455069912	182
3.2	534	Thunnus alalunga	0.00739160264056034	193
3.2	523	Thunnus alalunga	0.00760852474512245	198
3.2	525	Thunnus thynnus	0.0081555945745957	213
3.2	495	Thunnus thynnus	0.187632222686766	230
3.2	528	Thunnus alalunga	0.0275392089759905	237
3.2	789	Thunnus alalunga	0.0116690286739635	259
3.2	765	Thunnus alalunga	0.00564833002095241	260
3.2	770	Thunnus alalunga	0.010244566080735	265
3.2	849	Thunnus thynnus	0.195340563358672	331
3.2	864	Thunnus alalunga	0.00734300307483256	346
3.2	870	Thunnus alalunga	0.210467961273351	352
3.2	875	Thunnus alalunga	0.00928180197857652	357
3.2	888	Thunnus alalunga	0.0412698084744315	370
3.2	901	Thunnus alalunga	0.0630094479667069	383
3.2	904	Thunnus alalunga	0.00973618343223447	386
3.2	907	Thunnus alalunga	0.00828119441231098	389
3.2	908	Thunnus alalunga	0.0346756550750312	390
3.2	911	Thunnus alalunga	0.0421198761152539	393
3.2	912	Thunnus alalunga	0.0702166246384128	394
3.2	918	Thunnus alalunga	0.0921913634689311	400
3.2	923	Thunnus alalunga	0.167010394631659	405
3.2	925	Thunnus alalunga	0.00893891951715562	407
3.2	927	Thunnus alalunga	0.167459853055819	409
3.2	927	Thunnus thynnus	0.288966732373443	409
3.2	928	Thunnus alalunga	0.0293188158705869	410
3.2	928	Thunnus thynnus	0.00976237012755422	410
3.2	932	Thunnus alalunga	0.0102808378518485	414
3.2	950	Thunnus alalunga	0.0160391345874114	425
3.2	956	Thunnus alalunga	0.0373759967995565	431
3.2	961	Thunnus alalunga	0.110209517890616	436
3.2	1244	Thunnus alalunga	0.257783800710088	459
3.2	1245	Thunnus alalunga	0.0180985207672269	460
3.2	1255	Thunnus alalunga	0.0614247925625073	470
3.2	1256	Thunnus alalunga	0.0676629934332981	471
3.2	1257	Thunnus alalunga	0.0204574371264412	472
3.2	1258	Thunnus alalunga	0.0382121561598683	473
3.2	1259	Thunnus alalunga	0.00845480482583995	474
3.2	1303	Thunnus alalunga	0.108322546568379	475
3.2	1304	Thunnus alalunga	0.0989695160459391	476
3.2	1306	Thunnus alalunga	0.0196943027608085	478
3.2	1307	Thunnus alalunga	0.0410133271405181	479
3.2	1311	Thunnus alalunga	0.0333226808825153	483
3.2	1312	Thunnus alalunga	0.0252410677686487	484
3.2	1313	Thunnus alalunga	0.0170166769765731	485
3.2	1314	Thunnus alalunga	0.00955045118099246	486
3.2	1315	Thunnus alalunga	0.0082906521741993	487
3.2	1320	Thunnus alalunga	0.0156164599475445	492
3.2	1321	Thunnus alalunga	0.0722058707394142	493
3.2	1322	Thunnus alalunga	0.0348630025862023	494
3.2	1325	Thunnus alalunga	0.0431334653757476	497
3.2	1285	Thunnus alalunga	0.00969716574670267	506
3.2	1290	Thunnus alalunga	0.0111321906646103	511
