year	mean_predator_dens	sd_predator_dens	se_predator_dens	period
2001	0	0	0	Before tuna recovery
2002	0.000176119342799422	0.00114146187041224	0.000123808923065533	Before tuna recovery
2003	0.000215204644508261	0.00169507261810792	0.000120463565485129	Before tuna recovery
2004	0.000579547610260157	0.00310073532016858	0.000240663734882503	Before tuna recovery
2005	0.000276900960734691	0.00168955162774169	0.000124218306149808	Before tuna recovery
2012	0.00161028237284956	0.00608904881001037	0.00049388707564723	After tuna recovery
2013	0.00107994464321194	0.0046789117268255	0.000421883262736791	After tuna recovery
2014	0.0019693497478375	0.00688157764798193	0.00075084167791889	After tuna recovery
2015	0.00181188455108151	0.00694572111810466	0.000716396433180153	After tuna recovery
2016	0.000692272843688109	0.00272250198183594	0.00027932280968726	After tuna recovery
2017	0.00903876094288181	0.026834380734639	0.00281300744269448	After tuna recovery
